[2026-08-26 17:31:24.513348] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:26.634170] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:28.713302] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:30.786446] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:32.905047] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:35.071426] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:37.171246] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:39.289489] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:41.412674] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:43.431388] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:45.544783] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:47.664781] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:49.734184] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:51.771283] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:53.791415] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:55.809339] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:31:57.886996] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:32:00.005178] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:32:02.122314] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:32:04.247866] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:32:06.318227] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:32:08.339529] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:32:10.410966] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:32:12.531466] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:32:14.571376] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:32:16.640782] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
[2026-08-26 17:32:18.708677] [NODE 1] ATTACK DETECTED: ConnectionResetExperiment      confidence=100.00%
